College ID,College Name,CollegeUrl,Email,Address,Contact No,TPO Name,TPO Number
1002,Government College of Engineering   Amravati,www.gcoea.ac.in,principal@gcoea.ac.in,VMV Road   Near Kathora Naka    Amravati,2531929,,
1012,Government Engineering College   Yavatmal,www.gpyavatmal.edu.in,office.gpyavatmal@dtemaharashtra.gov.in,Post Box N. 24   Dhamangaon Road   Yavatmal ,7232243,,
1101,Shri Sant Gajanan Maharaj College of Engineering  Shegaon,www.ssgmce.org,principal@ssgmce.ac.in,S.S.G.M.C.E Campus   Khamgaon Road   Shegaon Dist. Buldhana,8669638081,,
1105,Prof. Ram Meghe Institute of Technology & Research   Amravati,www.mitra.ac.in,principal@mitra.ac.in,Anjangaon Bari Road   Badnera    Amravati,2681246,,
1108,P.R. Patil College of Engineering & Technology   Amravati,www.prpcet.org,director_prpce@rediffmail.com,Gajanan Township Campus   (Post Estate)   Kathore Road   Amravati,2530344,,
1111,Shree Hanuman Vyayam Prasark Mandal's P.G. Department  of Computer Science & Technology   Amravati,www.hvpm.org,coco_mca@hvpm.org,Hanuman Vyayam Prasarak Mandal    Hanuman Vyayam Nagar   Amravati,2573258,,
1114,Sipna Shikshan Prasarak Mandal College of Engineering & Technology   Amravati,www.sipnaengg.ac.in,sipnaoffice@gmail.com,Sipna campus   Infront of Nemani Godown   Badnera Rd.   Amravati,2522342,,
1116,Shri Shivaji Education Society's College of Engineering and Technology   Akola,www.coeta.ac.in,principalcoeta@gmail.com,Babhulgaon(Jn)   Murtizapur Road   National Highway No. 6   Akola,2259069,,
1117,Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering   Pusad,www.bncoepusad.ac.in,principal@bncoepusad.ac.in,Kalra Road   Pusad  Dist Yavatmal ,245229,,
1119,Paramhansa Ramkrishna Maunibaba Shikshan Santha's    Anuradha Engineering College   Chikhali,www.aecc.ac.in,annprincipal55@gmail.com,Anuradhha Nagar   Sakegaon Road   Chikhali Dist. Buldhana ,242063,,
1120,Jawaharlal Darda Institute of Engineering and Technology   Yavatmal,www.jdiet.ac.in,jdiet_yml@bsnl.in,MIDC   Lohara   Amaravati Road   Yavatmal,7447797962,,
1121,Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology   Amravati,www.hvpmcoet.in,principal@hvpmcoet.in,Hanuman Vyayam Nagar   H.V.P.M. Campus   Amravati,2563422,,
1122,Dr. Bhausaheb Nadurkar College of Engineering   Waghapur  Yavatmal,www.dbncoet.ac.in,dbncoetytl@gmail.com,Shri Saty Sai Krida Nagari   Waghapur Road   Yavatmal,246162,,
1123,Dr.Rajendra Gode Institute of Technology & Research   Amravati,www.drgitr.com,principal_coe@rediffmail.com,University Mardi Road   Opp. Heart Hospital   Amravati,2970275,,
1124,G.H. Raisoni college of Engineering & Management   Amravati,ghrcema.raisoni.net,vijay.rathod@raisoni.net,Anjangaon   Bari Road   Amravati,2385432,,
1125,Dwarka Bahu Uddeshiya Gramin Vikas Foundation   Rajarshri Shahu College of Engineering   Buldhana,www.rsce.ac.in,rsc_engg@rediffmail.com,Rajarshi Shahu Nagar   Near Palna Ghar   Sagwan Road    Buldhana ,287167,,
1126,Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology   Darapur   Amravati,www.kgiet.ac.in,principal.kgiet@gmail.com,Darapur   Taluka. Daryapur   Amravati,7720032432,,
1127,Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology   Yavatmal,www.jcoet.org,principal@jcoet.org,Sr. No.167/1  167/2 &163/  Arni Road   Mauza-Kinhi  Tal & Dist-Yavatmal,244226,,
1128,Prof Ram Meghe College of Engineering  and Management   Badnera,www.prmceam.ac.in,principal@prmceam.ac.in,New Express Highway   Badnera Dist. Amravati,2580373,,
1129,Dhamangaon Education Society's College of Engineering and Technology   Dhamangaon,www.descoet.org,desdcoet@rediffmail.com,Knowledge Hub   Anjansingi Road   Dhamangaon RlY. Station   Amravati,237335,,
1130,Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies   Yelgaon,www.plit.ac.in,principal_plit@rediffmail.com,Chikhali Road   Post Yelgaon   Tal & Buldhana,Ext.-,,
1148,P. R. Pote Patil Institute of Engineering & Research   At  Kathora   Amravati ,www.prppier.ac.in,prpatilengineering@gmail.com,Kathora Road   Pote Estate   Mu. Kathora Ta. Dist Amravati,2970408,,
1180,Sanmati Engineering College   Sawargaon Barde   Washim,www.sanmati.in,engineering@sanmati.in,Survey no. 40   Washim-Malegaon Road   At. Post  Sawargaon Barde Dist. Washim ,234302,,
1182,Padmashri Dr. V.B.  Kolte College of Engineering   Malkapur   Buldhana,www.coemalkapur.ac.in,coemalkapur@rediffmail.com,Malkapur   Dist. Buldhana,226700,,
1251,Bhonsla College of Engineering & Reasearch   Akola,www.bhonslacer.org,bim.ngp@gmail.com,Survey No. 65   Mouza - Hingna Barlingna   Akola-Washim Highway   Tah. & Dist. Akola. ,6090111,,
1265,Mauli Group of Institutions   College of Engineering and Technology   Shegaon.,www.mauligroup.org,maulicoet@gmail.com,Khamgaon Road   Shegaon Dist. Buldhana,7722027506,,
1266,Harikisan Maloo Institute Of Management & Technology   Amravati,www.maloogroup.org,hcminstmngtech@gmail.com,Opp. Deshmukh Lawns   Shegaaon Rahatgaon Road   Amravati. ,2970119,,
1267,Pratap Institute of Management & Technology   Washim.,www.pimtwashim.org,pimt.washim@gmail.com,Gat No. 89 & 90   Mauza Walki   Risod Road   Washim,288919,,
1268,Siddhivinayak Technical Campus   School of Engineering & Research Technology   Shirasgon   Nile ,www.stc.org.in,admn.stc@gmail.com,Gat No.133  134 & 140   Shegaon Khamgaon Road   Shirasgaon   Nile   Tal. Shegaon,220222,,
1276,Manav School of Engineering & Technology   Gut No. 1035 Nagpur Surat Highway   NH No. 6 Tal.Vyala   Balapur   Akola    444302,www.manavengineering.ac.in,principal@manavengineering.ac.in,Gut No.1035   Surat Nagpur Highway Vyala   Tal.Balapur   Akola,238406,,
1278,Let.Dr.D.B.Dod College of Engineering   Jambla  Achalpur,www.dbdcoe.org,drdbdod@rediffmail.com,Sr.No.32/4    Mauja Jambla   Anjangaon Road   Paratwada Tal. Achalpur Dist. Amravati,225503,,
2008,Government College of Engineering    Aurangabad,www.geca.ac.in,principalgeca@yahoo.com,Station Road   Osmanpura    Aurangabad,2366111,,
2020,Shri Guru Gobind Singhji Institute of Engineering and Technology   Nanded,www.sggs.ac.in,director@sggs.ac.in,Vishnupuri   Nanded,229234,,
2021,University Department of Chemical Technology   Aurangabad,www.bamu.net,udctaurangabad@yahoo.co.in,Dr. Babasaheb Ambedkar Marathwada University Campus   Aurangabad,2403308,,
2112,Shree Yash Pratishthan   Shreeyash College of Engineering and Technology   Aurangabad,www.syp.ac.in,sycet@yahoo.com,Gut No. 258 (P)   Satara Tanda   Tal & Dist. Aurangabad,6608701,,
2113,G. S. Mandal's Maharashtra Institute of Technology   Aurangabad,www.mit.asia,spbhosle2001@gmail.com,N.H. No. 211  Beed bypass Road   Satara   Aurangabad,2375222,,
2114,Deogiri Institute of Engineering and Management Studies   Aurangabad,www.dietms.org,shiurkar@gmail.com,Deogiri College Campus   Railway Station Road   Aurangabad,2367575,,
2119,Shree Sharda Bhavan Education Society's Institute of Technology & Management   Nanded,www.ssbesitm.org,ssbesitm@yahoo.com,Yashwant College Campus   VIP Road Nanded  (MS) 431602,254850,,
2120,Dnyanopasak Shikshan Mandal's Institute of Information Technology & Management   Parbhani.,www.dsmiitm.com,gopal.hoge@gmail.com,C/o. Dnyanopasak College of  Arts   Commeres  & Science   Near Zilla Parishad   Jintur Road   Parbhani  431401,293044,,
2124,Maratha Education Society's Institute of Management studies & Information Technology   Aurangabad,www.imsit.edu.in,drashokgaikwad@gmail.com,Vivekanand College Campus    Samarth nagar   Aurangabad  431001,2365821,,
2125,S.V.S.P. Mandal's Swami Vivekanand Institute of Technology and Mangement   Udgir,www.svspm.edu.in,svitm934@gmail.com,Avalkonda Road   Udgir   Dist. Latur.   413517,253970,,
2126,Gramodyogik Shikshan Mandal's Marathwada Institute of Technology   Aurangabad,www.mit.asia,principal.mite@mit.asia,P.B.-327   Satara Village Rd.    off Beed By-Pass Highway   Aurangabad,2375375,,
2127,Mahatma Gandhi Missions College of Engineering   Hingoli Rd   Nanded.,www.mgmcen.ac.in,mgmcen@mgmcen.ac.in,Near Airport  Hingoli Road   Nanded,222999,,
2128,Maharashtra College of Engineering   Nilanga,www.mce-nilanga.com,mcenilanga20@yahoo.com,Maharashtra Education Society's College of Engineering   Nilanga A/P Nilanga Dist. Latur ,242088,,
2129,M.S. Bidve Engineering College   Latur,www.msbecl.ac.in,principal@msbecl.ac.in,P.O. Box No. 112   Barshi Road   Latur,221255,,
2130,Terna Public Charitable Trust's College of Engineering   Osmanabad,www.coeosmanabad.com,coe@ternatrust.org,Solapur  Road   Osmanabad ,251011,,
2131,Shree Tuljabhavani College of Engineering   Tuljapur,www.stbcet.org.in,stbcet@gmail.com,Naldurg Road   Tuljapur   Dist. Osmanabad,243603,,
2132,M.G.M.'s Jawaharlal Nehru Engineering College   Aurangabad,www.jnec.org,jnec@jnec.ac.in,Mahatma Gandhi Mission's Jawaharlal Nehru Engg. College Campus   N-6   CIDCO,2482893,,
2133,Mahatma Basaweshwar Education Society's College of Engineering   Ambejogai,www.coea.ac.in,khadakbhavibi@gmail.com,Ambejogai   Beed,247262,,
2134,Peoples Education Society's College of Engineering   Aurangabad,www.pescoe.ac.in,principal@pescoe.ac.in,Nagasen Vana   Near Panchakki   University Rd.   Aurangabad,2403017,,
2135,Hi-Tech Institute of Technology   Aurangabad,www.hitechengg.edu.in,principal@hitechengg.edu.in,P-119   Bajajnagar   Aurangabad ,2553496,,
2136,Aditya Engineering College    Beed,www.adityaeducation.org.in,principal.aditya@gmail.com,Telgaon Road   Beed Tal.& Dist. Beed,227038,,
2137,Nagnathappa Halge Engineering  College   Parli   Beed,www.nhce.in,nhce1@hotmail.com,At Brahmwadi    Post Tokwadi   Parli-Beed State Highway   Parli Vaijnath Dist. Beed,224334,,
2138,Matsyodari Shikshan Sansatha's College of Engineering and Technology   Jalna,www.msscetjalna.org,msscetjalna@gmail.com,Jalna-Aurangabad Road   Nagewadi   Jalna,202533,,
2141,Shri Sai Samajik Vikas Santha's Shri Sai Colllege of Engineering   Paddari Village Tal. & Dist. Aurangabad,www.saiengineeringcollege.in,appoint01@gmail.com,Gut No. 80   Paddari Village  Near Beed bypass  via Deolai  Near Sai Mandir   Tal. & Dist. Aurangabad,6453732,,
2144,Maharashtra Education Society's Maharashtra Udayagiri Institute of Management & Technology   Somnathpur,www.muec.ac.in,principalmuimt@gmail.com,Vill. Somnathpur   Tal. Udgir. Dist. Latur,256152,,
2145,Geetai Charitable Trust's Khurana Sawant Institute of Engineering & Technology   Balsond   Hingoli.,www.ksiet.org,ksiet_hingoli@yahoo.co.in,Balsond   Tal.& Dist. Hingoli,290281,,
2146,Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology   Osmanabad,www.ktpcoe.org.in,ktpcoeo@gmail.com,Keshav Nagar   Jadahavwadi Road   Osmanabad.Tal.  & Dist. Osmanabad,2293200,,
2160,G.S. Mandals Marathwada Institute of Technology (Arch.)   Aurangabad,www.mit.asia,info@mit.asia,PB 327  Satara Road   Aurangabad,2375111,,
2161,Javaharlal Nehru Institute of Education Science & Technological Research   Mahatma Gandhi College of Architecture   Vasara,,,Latur Road   Nanded,Ext.-,,
